类型	源文件	候选调用数	可达性	处理状态
页面跳转	app/src/main/java/io/github/qauxv/fragment/SearchOverlaySubFragment.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/io/github/qauxv/fragment/SettingsMainFragment.kt	2	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/io/github/qauxv/fragment/TroubleshootFragment.kt	4	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/io/github/qauxv/lifecycle/JumpActivityEntryHook.java	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/io/github/qauxv/tips/newfeaturehint/NewFeatureIntroduceFragment.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/io/github/qauxv/util/consis/StartupDirectorBridge.java	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/io/github/qauxv/util/hookstatus/HookStatus.java	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/me/hd/hook/OpenIllegalityHistory.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/me/hd/hook/TimBarAddEssenceHook.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/me/hd/hook/TimMineAddPdFunc.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/me/ketal/hook/LeftSwipeReplyHook.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/me/ketal/hook/ManageComponent.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/me/ketal/ui/activity/QFileShareToIpadActivity.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/me/singleneuron/activity/ChooseAgentActivity.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/me/singleneuron/hook/decorator/ForceSystemAlbum.kt	3	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/me/singleneuron/hook/decorator/ForceSystemFile.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/top/xunflash/hook/MiniAppDirectJump.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
页面跳转	app/src/main/java/sumicya/qself/feature/chat/GroupAdminMenu.kt	1	待结合功能目录和调用链核实	待迁移或登记排除理由
